Index Trading Symbol;Index Name;Index ISIN;Symbol;TRUENAMES;NAME;TICKER;Transparency Level;Exchange;Index Value (close);Index Settlement Value (Future);Index Settlement Value (Kassa);Index Settlement Value (Option);Constant A (last regular rebalancing) (Index);Kt (last regular rebalancing) (Index);Market Cap. (in Mio.) (last regular rebalancing) (Index);# Constituents;Performance (1d) (Index);Performance (1m) (Index);Performance (12m) (Index);Performance (ytd) (Index);Volatility (1m) (Index);Volatility (12m) (Index);Sharpe Ratio (1m) (Index);Sharpe Ratio (12m) (Index);pit;pi0 (last regular rebalancing);qi0 (last regular rebalancing);qit (last regular rebalancing);ffit (last regular rebalancing);ci (last regular rebalancing);Market Cap. (in Mio.) (last regular rebalancing);Weight (last regular rebalancing);Fi (last regular rebalancing);Fi (norm 1m EUR) (last regular rebalancing);Fi (norm Index) (last regular rebalancing);Quintil;Performance (1d);Performance (1m);Performance (12m);Performance (ytd);Volatility (1m);Volatility (12m);Sharpe Ratio (1m);Sharpe Ratio (12m);Beta (1m);Beta (12m);Correlation (1m);Correlation (12m)
MKDX;MDAX KURSINDEX;DE0008467531;G24;SCOUT24 AG NA O.N.;DE000A12DM80;G24.DE;Prime Standard;XETRA;18.436,59;G24.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;71,64;30,75;107.600.000;105.700.000;0,9256;1,01182;6.674,06;2,01%;12,270269;298,534134;5,503951;2;1,56%;2,85%;-1,18%;9,36%;17,72%;22,44%;0,5516;-0,0385;0,674;0,734;0,4871;0,4828
MKDX;MDAX KURSINDEX;DE0008467531;SAE;SHOP APOTHEKE EUROPE INH.;NL0012044747;SAE.DE;Prime Standard;XETRA;18.436,59;SAE.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;132,9;30,05;9.069.878;17.935.121;0,7356;1;2.233,59;0,67%;1,635304;39,786747;0,733532;5;2,94%;-19,60%;-6,54%;-10,32%;63,75%;62,39%;-1,034;-0,0991;1,887;1,5112;0,3791;0,3575
MKDX;MDAX KURSINDEX;DE0008467531;SHL;SIEMENS HEALTH.AG NA O.N.;DE000SHL1006;SHL.DE;Prime Standard;XETRA;18.436,59;SHL.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;55,18;29,1;1.000.000.000;1.075.000.000;0,2093;1;11.247,63;3,39%;27,888823;678,531626;12,509809;1;0,47%;5,79%;24,24%;33,63%;14,72%;22,13%;1,3362;1,1005;0,4861;0,5298;0,4227;0,3535
MKDX;MDAX KURSINDEX;DE0008467531;SOW;SOFTWARE AG  NA O.N.;DE000A2GS401;SOW.DE;Prime Standard;XETRA;18.436,59;SOW.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;40,58;29,6;26.090.000;74.000.000;0,6624;1;1.841,10;0,56%;6,075815;147,823828;2,725367;5;-0,05%;5,13%;4,19%;24,50%;27,89%;29,64%;0,6256;0,1506;0,716;1,0073;0,3288;0,5017
MKDX;MDAX KURSINDEX;DE0008467531;SAX;STROEER SE + CO. KGAA;DE0007493991;SAX.DE;Prime Standard;XETRA;18.436,59;SAX.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;67,05;20,6;41.458.238;56.646.571;0,4861;1;1.895,85;0,57%;3,413121;83,040824;1,53099;5;0,83%;-1,76%;19,94%;-17,22%;14,92%;28,80%;-0,3869;0,6973;0,694;0,6746;0,5958;0,3457
MKDX;MDAX KURSINDEX;DE0008467531;SY1;SYMRISE AG INH. O.N.;DE000SYM9999;SY1.DE;Prime Standard;XETRA;18.436,59;SY1.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;123,45;17,25;118.173.300;135.426.610;0,8976;1;13.930,65;4,20%;15,067435;366,588852;6,758648;1;0,28%;4,49%;16,09%;14,91%;12,38%;19,38%;1,2342;0,8395;0,2797;0,5233;0,2894;0,3987
MKDX;MDAX KURSINDEX;DE0008467531;TEG;TAG IMMOBILIEN AG;DE0008303504;TEG.DE;Prime Standard;XETRA;18.436,59;TEG.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;27,84;74;900.000;146.498.765;1;1;4.003,81;1,21%;18,158771;441,800665;8,145298;3;0,40%;2,92%;29,76%;11,53%;14,46%;22,28%;0,6914;1,3389;0,5274;0,6345;0,4669;0,4204
MKDX;MDAX KURSINDEX;DE0008467531;TMV;TEAMVIEWER AG  INH O.N.;DE000A2YN900;TMV.DE;Prime Standard;XETRA;18.436,59;TMV.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;29,17;26,25;200.000.000;201.070.931;0,8003;1;5.459,92;1,65%;19,945944;485,282363;8,946952;3;2,06%;-9,47%;-36,89%;-33,45%;63,17%;44,74%;-0,5027;-0,8112;2,5131;1,3231;0,5094;0,4365
MKDX;MDAX KURSINDEX;DE0008467531;O2D;TELEFONICA DTLD HLDG NA;DE000A1J5RX9;O2D.DE;Prime Standard;XETRA;18.436,59;O2D.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;2,262;5,7;1.116.945.400;2.974.554.993;0,3078;1;2.032,56;0,61%;113,486213;2.761,11;50,905372;5;-7,48%;1,71%;1,10%;8,18%;34,89%;25,51%;0,1696;0,0546;0,3411;0,4104;0,1252;0,2375
MKDX;MDAX KURSINDEX;DE0008467531;TKA;THYSSENKRUPP AG O.N.;DE0007500001;TKA.DE;Prime Standard;XETRA;18.436,59;TKA.DE;n/a;n/a;2.300,26;8,5054875;331.595;60;0,77%;2,48%;29,59%;12,93%;12,81%;14,76%;0,6644;2,0097;8,522;53,43;31.300.000;622.531.741;0,7907;1;4.144,63;1,25%;61,01347;1.484,45;27,3682;3;1,72%;-1,68%;22,58%;4,90%;41,29%;54,98%;-0,1337;0,4131;1,9956;1,5581;0,6189;0,4183
