A;TICKER;NAME;TRUENAMES
SYM;SRE;SMART;AMEX
SYM;NOW;SMART;AMEX
SYM;SHW;SMART;AMEX
SYM;SPG;SMART;AMEX
SYM;SWKS;SMART;AMEX
SYM;SLG;SMART;AMEX
SYM;SNA;SMART;AMEX
SYM;MO;SMART;AMEX
SYM;LUV;SMART;AMEX
SYM;SWK;SMART;AMEX
SYM;SBUX;SMART;AMEX
SYM;STT;SMART;AMEX
SYM;STE;SMART;AMEX
SYM;SYK;SMART;AMEX
SYM;SIVB;SMART;AMEX
SYM;SYF;SMART;AMEX
SYM;SNPS;SMART;AMEX
SYM;SYY;SMART;AMEX
SYM;TMUS;SMART;AMEX
SYM;TROW;SMART;AMEX
SYM;TTWO;SMART;AMEX
SYM;TPR;SMART;AMEX
SYM;TGT;SMART;AMEX
SYM;TEL;SMART;AMEX
SYM;TEL;SMART;AMEX
SYM;FTI;SMART;AMEX
SYM;TFX;SMART;AMEX
SYM;TXN;SMART;AMEX
SYM;TXT;SMART;AMEX
SYM;TMO;SMART;AMEX
SYM;TIF;SMART;AMEX
SYM;TJX;SMART;AMEX
SYM;TSCO;SMART;AMEX
SYM;TT;SMART;AMEX
SYM;TDG;SMART;AMEX
SYM;TRV;SMART;AMEX
SYM;TFC;SMART;AMEX
SYM;TWTR;SMART;AMEX
SYM;TSN;SMART;AMEX
SYM;UDR;SMART;AMEX
SYM;ULTA;SMART;AMEX
SYM;USB;SMART;AMEX
SYM;UAA;SMART;AMEX
SYM;UA;SMART;AMEX
SYM;UNP;SMART;AMEX
SYM;UAL;SMART;AMEX
SYM;UNH;SMART;AMEX
SYM;UPS;SMART;AMEX
SYM;URI;SMART;AMEX
SYM;UHS;SMART;AMEX
SYM;UNM;SMART;AMEX
SYM;VFC;SMART;AMEX
SYM;VLO;SMART;AMEX
SYM;VAR;SMART;AMEX
SYM;VTR;SMART;AMEX
SYM;VRSN;SMART;AMEX
SYM;VRSK;SMART;AMEX
SYM;VZ;SMART;AMEX
SYM;VRTX;SMART;AMEX
SYM;VIAC;SMART;AMEX
SYM;V;SMART;AMEX
SYM;VNO;SMART;AMEX
SYM;VMC;SMART;AMEX
SYM;WRB;SMART;AMEX
SYM;WAB;SMART;AMEX
SYM;WMT;SMART;AMEX
SYM;WBA;SMART;AMEX
SYM;DIS;SMART;AMEX
SYM;WM;SMART;AMEX
SYM;WAT;SMART;AMEX
SYM;WEC;SMART;AMEX
SYM;WFC;SMART;AMEX
SYM;WELL;SMART;AMEX
SYM;WDC;SMART;AMEX
SYM;WU;SMART;AMEX
SYM;WRK;SMART;AMEX
SYM;WY;SMART;AMEX
SYM;WHR;SMART;AMEX
SYM;WMB;SMART;AMEX
SYM;WLTW;SMART;AMEX
SYM;WYNN;SMART;AMEX
SYM;X;SMART;AMEX
SYM;XEL;SMART;AMEX
SYM;XRX;SMART;AMEX
SYM;XLNX;SMART;AMEX
SYM;XYL;SMART;AMEX
SYM;YUM;SMART;AMEX
SYM;ZBRA;SMART;AMEX
SYM;ZBH;SMART;AMEX
SYM;ZION;SMART;AMEX
SYM;ZTS;SMART;AMEX
