WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
A0H08L;DE000A0H08L5;EXH6.DE;ETF;ISHRS STX600 MEDIA;iShares STOXX Europe 600 Media UCITS ETF (DE)
A0H08N;DE000A0H08N1;EXH7.DE;ETF;ISHRS STX600 PERSONAL;"iShares STOXX Europe 600 Personal &amp; Household Goods UCITS ETF (DE)"
A0Q4R4;DE000A0Q4R44;EXI5.DE;ETF;ISHRS STX600 REAL;iShares STOXX Europe 600 Real Estate UCITS ETF (DE)
A0H08P;DE000A0H08P6;EXH8.DE;ETF;ISHRS STX600 RETAIL;iShares STOXX Europe 600 Retail UCITS ETF (DE)
A0H08Q;DE000A0H08Q4;EXV3.DE;ETF;ISHRS STX600;iShares STOXX Europe 600 Technology UCITS ETF (DE)
A0H08R;DE000A0H08R2;EXV2.DE;ETF;ISHRS STX600;iShares STOXX Europe 600 Telecommunications UCITS ETF (DE)
A0H08S;DE000A0H08S0;EXV9.DE;ETF;ISHRS STX600 TRAVEL &;"iShares STOXX Europe 600 Travel &amp; Leisure UCITS ETF (DE)"
A0Q4R0;DE000A0Q4R02;EXH9.DE;ETF;ISHRS STX600 UTILITIES;iShares STOXX Europe 600 Utilities UCITS ETF (DE)
A0H072;DE000A0H0728;EXXY.DE;ETF;ISHS DIV.COMM.SWAP UC.;iShares Diversified Commodity Swap UCITS ETF (DE)
A2PBNQ;IE00BGR7L912;IBCC.DE;ETF;ISHS DL TB 0-1YR ETF DLD;iShares $ Treasury Bond 0-1yr UCITS ETF USD (Dist)
A2PNJP;IE00BK95B138;SNA2.DE;ETF;ISHS DL TREASURY BD DL;iShares $ Treasury Bond UCITS ETF USD (Dist)
A2PGVV;IE00BJSFQW37;36B7.DE;ETF;ISHS GL.CORP.BD ETF;iShares Global Corp Bond UCITS ETF EUR Hedged (Dist)
A2PGVW;IE00BJSFR200;HYLE.DE;ETF;ISHS GL.HY.C.BD ETF;iShares Global High Yield Corp Bond UCITS ETF EUR Hedged (Dist)
A2P1KU;IE00BKPT2S34;IS3V.DE;ETF;ISHS GOV BD HGDEOA;iShares Global Inflation Linked Govt Bond UCITS ETF EUR Hedged (Acc)
A2H5ES;IE00BYWZ0333;2B7F.DE;ETF;ISHS IV-AUTO.+ROBO.ET.;"iShares Automation &amp; Robotics UCITS ETF USD (Dist)"
A2N9FP;IE00BGL86Z12;IEVD.DE;ETF;ISHS IV-EL.VEH.+DR.T.;iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc)
A2DK6R;IE00BDFL4P12;SXRS.DE;ETF;ISHS VI-DIV.COM.S.U.ETF;iShares Diversified Commodity Swap UCITS ETF
A2JDYF;IE00BD45KH83;IBC3.DE;ETF;ISHS-CORE MSCI EM IMI;iShares Core MSCI EM IMI UCITS ETF USD (Dist)
A0HGWB;IE00B0M63953;IQQR.DE;ETF;ISHS-MSCI EAST.EUR.C.DL;iShares MSCI Eastern Europe Capped UCITS ETF USD (Dist)
A0LGP5;IE00B1FZS913;IBCL.DE;ETF;ISHSII EO G.BD15-30YR;"iShares &#226;&#130;&#172; Govt Bond 15-30yr UCITS ETF EUR (Dist)"
A2N8RP;IE00BGDPWV87;AYEP.DE;ETF;ISHSII-ASIA PROP.YLD DLA;iShares Asia Property Yield UCITS ETF USD (Acc)
A0LEQL;IE00B1FZS244;IQQ4.DE;ETF;ISHSII-ASIA PROP.YLD DLD;iShares Asia Property Yield UCITS ETF USD (Dist)
A0MR61;IE00B1W57M07;IQQ9.DE;ETF;ISHSII-BRIC 50 DL DIS;iShares BRIC 50 UCITS ETF USD (Dist)
A2DS7Y;IE00BZ048579;SNAV.DE;ETF;ISHSII-DCB 0-3ESG ETF;iShares $ Corp Bond SRI 0-3yr UCITS ETF USD (Dist)
A2N9ZM;IE00BG5QQ390;IU0E.DE;ETF;ISHSII-DCB S.0-3Y;iShares $ Corp Bond SRI 0-3yr UCITS ETF EUR Hedged (Acc)
A2DS7X;IE00BZ048462;QDVY.DE;ETF;ISHSII-DL FR BD ETF DLUD;iShares $ Floating Rate Bond UCITS ETF USD (Dist)
A2JBMD;IE00BF5GB717;EFRN.DE;ETF;ISHSII-DL FR BD ETF EOD;"iShares &#226;&#130;&#172; Floating Rate Bond UCITS ETF EUR (Dist)"
A2DUC4;IE00BF11F458;SXRR.DE;ETF;ISHSII-DL FR BD ETF;iShares $ Floating Rate Bond UCITS ETF EUR Hedged (Dist)
A2JDYH;IE00BDZVH966;IBC5.DE;ETF;ISHSII-DL TIPS EO-H. ACC.;iShares $ TIPS UCITS ETF EUR Hedged (Acc)
A2DUCX;IE00BF3N7102;IBC2.DE;ETF;ISHSII-DLHY CORP BD;iShares $ High Yield Corp Bond UCITS ETF EUR Hedged (Dist)
A0LGP4;IE00B1FZS798;IUSM.DE;ETF;ISHSII-DLT.BD7-10YR;iShares $ Treasury Bond 7-10yr UCITS ETF USD (Dist)
A2PDTS;IE00BGPP6697;IBB1.DE;ETF;ISHSII-DLT.BD7-10YR;iShares $ Treasury Bond 7-10yr UCITS ETF EUR Hedged (Dist)
A2QA0U;IE00BMDFDY08;UEEF.DE;ETF;ISHSII-EHYCBESG CL-;iShares $ High Yield Corp Bond ESG UCITS ETF EUR Hedged (Acc)
A0NECV;IE00B2NPL135;IUS8.DE;ETF;ISHSII-EM INFRASTR.DLDIS;iShares Emerging Market Infrastructure UCITS ETF USD (Dist)
A142NT;IE00BYZTVT56;OM3F.DE;ETF;ISHSII-EO CB SUST.SCR.;"iShares &#226;&#130;&#172; Corp Bond ESG UCITS ETF EUR (Dist)"
A0LGQA;IE00B1FZS806;IBCM.DE;ETF;ISHSII-EO G.BD 7-10YR;"iShares &#226;&#130;&#172; Govt Bond 7-10yr UCITS ETF EUR (Dist)"
A0LGP6;IE00B1FZS681;IBCN.DE;ETF;ISHSII-EO G.BD3-5YR;"iShares &#226;&#130;&#172; Govt Bond 3-5yr UCITS ETF EUR (Dist)"
A0MW0M;IE00B1XNHC34;IQQH.DE;ETF;ISHSII-GL.CL.ENERGY;iShares Global Clean Energy UCITS ETF USD (Dist)
A0M59G;IE00B27YCF74;IUSB.DE;ETF;ISHSII-GL.T.+FOREST.;"iShares Global Timber&amp;Forestry ETF $ Dis"
A0MM0S;IE00B1TXK627;IQQQ.DE;ETF;ISHSII-GL.WATER DLDIS;iShares Global Water UCITS ETF USD (Dist)
