WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
111111;2222222222;OIH;ETF;VanEck Vectors Oil Services ETF;VanEck Vectors Oil Services ETF 
111111;2222222222;VOO;ETF;Vanguard S&P 500 ETF;Vanguard S&P 500 ETF 
111111;2222222222;XLE;ETF;SPDR Select Sector Fund - Energ;SPDR Select Sector Fund - Energ 
111111;2222222222;SLV;ETF;iShares Silver Trust;iShares Silver Trust 
111111;2222222222;GLD;ETF;SPDR Gold Trust;SPDR Gold Trust 
111111;2222222222;VTI;ETF;Vanguard Total Stock Market ETF;Vanguard Total Stock Market ETF 
111111;2222222222;XLF;ETF;SPDR Select Sector Fund - Finan;SPDR Select Sector Fund - Finan 
111111;2222222222;LABU;ETF;Direxion Daily S&P Biotech Bull;Direxion Daily S&P Biotech Bull 
111111;2222222222;GUSH;ETF;Direxion Daily S&P Oil & Gas Ex;Direxion Daily S&P Oil & Gas Ex 
111111;2222222222;USO;ETF;United States Oil Fund;United States Oil Fund 
111111;2222222222;SMH;ETF;VanEck Vectors Semiconductor ET;VanEck Vectors Semiconductor ET 
111111;2222222222;SCHD;ETF;Schwab US Dividend Equity ETF;Schwab US Dividend Equity ETF 
111111;2222222222;DIA;ETF;SPDR Dow Jones Industrial Avera;SPDR Dow Jones Industrial Avera 
111111;2222222222;TZA;ETF;Direxion Small Cap Bear 3X Shar;Direxion Small Cap Bear 3X Shar 
111111;2222222222;XLK;ETF;SPDR Select Sector Fund - Techn;SPDR Select Sector Fund - Techn 
111111;2222222222;XBI;ETF;SPDR Series Trust SPDR S&P Bio;SPDR Series Trust SPDR S&P Bio 
111111;2222222222;SPYD;ETF;SPDR Series Trust SPDR Portfoli;SPDR Series Trust SPDR Portfoli 
111111;2222222222;SPXL;ETF;Direxion Daily S&P 500 Bull 3X;Direxion Daily S&P 500 Bull 3X 
111111;2222222222;TAN;ETF;Invesco Solar ETF;Invesco Solar ETF 
111111;2222222222;SOXX;ETF;iShares PHLX SOX Semiconductor;iShares PHLX SOX Semiconductor 
111111;2222222222;IVV;ETF;iShares Core S&P 500 ETF;iShares Core S&P 500 ETF 
111111;2222222222;ARKX;ETF;ARK Space Exploration & Innovat;ARK Space Exploration & Innovat 
111111;2222222222;NAIL;ETF;Direxion Daily Homebuilders & S;Direxion Daily Homebuilders & S 
111111;2222222222;USOI;ETF;Credit Suisse X-Links Crude Oil;Credit Suisse X-Links Crude Oil 
111111;2222222222;SLVO;ETF;Credit Suisse Silver Shares Cov;Credit Suisse Silver Shares Cov 
111111;2222222222;TECL;ETF;Direxion Technology Bull 3X Sha;Direxion Technology Bull 3X Sha 
111111;2222222222;IAU;ETF;iShares Gold Trust Shares of th;iShares Gold Trust Shares of th 
111111;2222222222;XLI;ETF;SPDR Select Sector Fund - Indus;SPDR Select Sector Fund - Indus 
111111;2222222222;SPHD;ETF;Invesco S&P 500 High Dividend L;Invesco S&P 500 High Dividend L 
111111;2222222222;XLV;ETF;SPDR Select Sector Fund - Healt;SPDR Select Sector Fund - Healt 
111111;2222222222;VT;ETF;Vanguard Total World Stock Inde;Vanguard Total World Stock Inde 
111111;2222222222;VXUS;ETF;Vanguard Total International St;Vanguard Total International St 
111111;2222222222;XLB;ETF;Materials Select Sector SPDR;Materials Select Sector SPDR 
111111;2222222222;XLU;ETF;SPDR Select Sector Fund - Utili;SPDR Select Sector Fund - Utili 
111111;2222222222;SILJ;ETF;ETFMG Prime Junior Silver Miner;ETFMG Prime Junior Silver Miner 
111111;2222222222;UPRO;ETF;ProShares UltraPro S&P 500;ProShares UltraPro S&P 500 
111111;2222222222;SDIV;ETF;Global X SuperDividend ETF;Global X SuperDividend ETF 
111111;2222222222;XLY;ETF;SPDR Select Sector Fund - Consu;SPDR Select Sector Fund - Consu 
111111;2222222222;AGQ;ETF;ProShares Ultra Silver;ProShares Ultra Silver 
111111;2222222222;DRIP;ETF;Direxion Daily S&P Oil & Gas Ex;Direxion Daily S&P Oil & Gas Ex 
111111;2222222222;XME;ETF;SPDR S&P Metals & Mining ETF;SPDR S&P Metals & Mining ETF 
111111;2222222222;XLP;ETF;SPDR Select Sector Fund - Consu;SPDR Select Sector Fund - Consu 
111111;2222222222;PFF;ETF;iShares Preferred and Income Se;iShares Preferred and Income Se 
111111;2222222222;HACK;ETF;ETFMG Prime Cyber Security ETF;ETFMG Prime Cyber Security ETF 
111111;2222222222;SPXU;ETF;ProShares UltraPro Short S&P500;ProShares UltraPro Short S&P500 
111111;2222222222;SPYG;ETF;SPDR Series Trust SPDR Portfoli;SPDR Series Trust SPDR Portfoli 
111111;2222222222;KRE;ETF;SPDR S&P Regional Banking ETF;SPDR S&P Regional Banking ETF 
111111;2222222222;UNG;ETF;United States Natural Gas Fund;United States Natural Gas Fund 
111111;2222222222;BUZZ;ETF;VanEck Vectors Social Sentiment;VanEck Vectors Social Sentiment 
111111;2222222222;SRET;ETF;Global X SuperDividend REIT ETF;Global X SuperDividend REIT ETF 
111111;2222222222;SRTY;ETF;ProShares UltraPro Short Russel;ProShares UltraPro Short Russel 
111111;2222222222;SIL;ETF;Global X Silver Miners ETF;Global X Silver Miners ETF 
111111;2222222222;SDS;ETF;ProShares UltraShort S&P500;ProShares UltraShort S&P500 
111111;2222222222;VB;ETF;Vanguard Small-Cap ETF;Vanguard Small-Cap ETF 
111111;2222222222;SDOW;ETF;UltraPro Short Dow30;UltraPro Short Dow30 
111111;2222222222;DIV;ETF;Global X Super Dividend ETF;Global X Super Dividend ETF 
111111;2222222222;REMX;ETF;VanEck Vectors Rare Earth Strat;VanEck Vectors Rare Earth Strat 
111111;2222222222;XLRE;ETF;Real Estate Select Sector SPDR;Real Estate Select Sector SPDR 
111111;2222222222;DVY;ETF;iShares Select Dividend ETF;iShares Select Dividend ETF 
111111;2222222222;CPER;ETF;United States Copper Index Fund;United States Copper Index Fund 
111111;2222222222;VTIP;ETF;Vanguard Short-Term Inflation-P;Vanguard Short-Term Inflation-P 
111111;2222222222;XHB;ETF;SPDR Series Trust SPDR Homebuil;SPDR Series Trust SPDR Homebuil 
111111;2222222222;NOBL;ETF;ProShares S&P 500 Dividend Aris;ProShares S&P 500 Dividend Aris 
