;TICKER;TRUENAMES;industry;sector
193;XNKY.DE;Xtrackers Nikkei 225 UCITS ETF 1C EUR;ETF;sector
7;XPQP.DE;Xtrackers - MSCI Philippines UCITS ETF;ETF;sector
5;XMK9.DE;Xtrackers MSCI Japan UCITS ETF 4C EUR Hedged;ETF;sector
42;XMKA.DE;Xtrackers - MSCI Africa Top 50 Swap UCITS ETF;ETF;sector
95;XCS2.DE;Xtrackers II Australia Government Bond UCITS ETF 1C;ETF;sector
84;XCS3.DE;Xtrackers - MSCI Malaysia UCITS ETF;ETF;sector
88;XCS4.DE;Xtrackers - MSCI Thailand UCITS ETF;ETF;sector
82;XCS5.DE;Xtrackers - MSCI India Swap UCITS ETF;ETF;sector
75;XCS6.DE;Xtrackers - MSCI China UCITS ETF;ETF;sector
508;RUSL.DE;Lyxor MSCI Russia UCITS ETF Dist;ETF;sector

#############################################################################################################   China
389;C024.DE;Lyxor FTSE China A50 UCITS ETF;ETF;sector
